"","ndosi"
"1",0
"2",10000873
"3",0
"4",9999089
"5",0
"6",10002082
"7",0
"8",10004314
"9",0
"10",0
"11",0
"12",0
"13",10003354
"14",9998518
"15",0
"16",0
"17",0
"18",0
"19",10002339
"20",9995698
"21",0
"22",10001119
"23",0
"24",0
"25",0
"26",0
"27",0
"28",9994614
"29",0
"30",0
"31",0
"32",0
"33",0
"34",0
"35",0
"36",9998882
"37",0
"38",10001624
"39",0
"40",0
"41",0
"42",0
"43",0
"44",0
"45",9998154
"46",0
"47",0
"48",0
"49",0
"50",0
"51",0
"52",0
"53",9998128
"54",9992442
"55",0
"56",0
"57",0
"58",0
"59",0
"60",0
"61",0
"62",10004185
"63",0
"64",0
"65",0
"66",0
"67",0
"68",0
"69",0
"70",0
"71",10005178
"72",0
"73",0
"74",0
"75",0
"76",0
"77",0
"78",9995553
"79",0
"80",0
"81",0
"82",0
"83",0
"84",9994130
"85",0
"86",0
"87",0
"88",0
"89",0
"90",0
"91",9999019
"92",0
"93",0
"94",9997217
"95",0
"96",10002840
"97",9999285
"98",0
"99",0
"100",0
"101",0
"102",0
"103",0
"104",0
"105",0
"106",0
"107",0
"108",0
"109",0
"110",0
"111",0
"112",0
"113",9994707
"114",0
"115",0
"116",0
"117",0
"118",0
"119",0
"120",0
"121",0
"122",0
"123",0
"124",0
"125",0
"126",0
"127",10004129
"128",0
"129",0
"130",0
"131",0
"132",0
"133",0
"134",0
"135",10002766
"136",0
"137",9996583
"138",0
"139",0
"140",0
"141",0
"142",0
"143",0
"144",0
"145",0
"146",9998898
"147",0
"148",0
"149",0
"150",0
"151",0
"152",0
"153",0
"154",0
"155",0
"156",0
"157",0
"158",0
"159",9998652
"160",0
"161",0
"162",0
"163",0
"164",0
"165",0
"166",0
"167",0
"168",10001514
"169",0
"170",0
"171",0
"172",0
"173",0
"174",0
"175",0
"176",0
"177",10004765
"178",10000381
"179",0
"180",0
