"","ndosi"
"1",0
"2",10001777
"3",0
"4",0
"5",0
"6",10005739
"7",0
"8",0
"9",0
"10",0
"11",0
"12",0
"13",0
"14",0
"15",0
"16",0
"17",0
"18",0
"19",0
"20",0
"21",0
"22",0
"23",0
"24",10003007
"25",0
"26",0
"27",0
"28",0
"29",0
"30",0
"31",9999173
"32",0
"33",0
"34",0
"35",10000556
"36",0
"37",0
"38",0
"39",0
"40",0
"41",9997398
"42",0
"43",0
"44",0
"45",0
"46",9998449
"47",0
"48",0
"49",0
"50",0
"51",0
"52",0
"53",10002094
"54",9999781
"55",0
"56",0
"57",0
"58",0
"59",9999752
"60",0
"61",0
"62",0
"63",0
"64",0
"65",0
"66",0
"67",0
"68",0
"69",0
"70",0
"71",9996105
"72",0
"73",0
"74",0
"75",0
"76",0
"77",0
"78",9994879
"79",0
"80",0
"81",0
"82",0
"83",0
"84",9998253
"85",0
"86",0
"87",10000549
"88",0
"89",10002566
"90",10000778
"91",0
"92",0
"93",0
"94",0
"95",0
"96",10002796
"97",0
"98",0
"99",0
"100",0
"101",0
"102",0
"103",0
"104",9999609
"105",0
"106",0
"107",0
"108",0
"109",9996645
"110",0
"111",0
"112",0
"113",0
"114",0
"115",10001989
"116",0
"117",0
"118",0
"119",0
"120",0
"121",0
"122",0
"123",0
"124",0
"125",9995642
"126",0
"127",0
"128",0
"129",0
"130",10000744
"131",0
"132",0
"133",10004415
"134",0
"135",0
"136",0
"137",10001412
"138",0
"139",0
"140",0
"141",9999017
"142",0
"143",0
"144",0
"145",0
"146",0
"147",0
"148",0
"149",0
"150",10001415
"151",0
"152",0
"153",10004713
"154",0
"155",0
"156",0
"157",0
"158",0
"159",0
"160",0
"161",9996519
"162",0
"163",0
"164",0
"165",0
"166",0
"167",0
"168",0
"169",10002693
"170",0
"171",0
"172",10001318
"173",0
"174",0
"175",0
"176",0
"177",10000431
"178",0
"179",0
"180",0
