"","ndosi"
"1",0
"2",0
"3",0
"4",0
"5",0
"6",0
"7",0
"8",0
"9",0
"10",0
"11",0
"12",0
"13",0
"14",0
"15",9998876
"16",0
"17",0
"18",10000744
"19",0
"20",0
"21",0
"22",0
"23",0
"24",0
"25",0
"26",9998229
"27",0
"28",0
"29",9999240
"30",0
"31",0
"32",0
"33",0
"34",0
"35",0
"36",10003514
"37",0
"38",10001519
"39",9997981
"40",10000832
"41",0
"42",10002594
"43",0
"44",0
"45",0
"46",0
"47",9999661
"48",0
"49",0
"50",0
"51",0
"52",0
"53",0
"54",0
"55",0
"56",0
"57",0
"58",0
"59",0
"60",0
"61",9996641
"62",0
"63",0
"64",0
"65",9996545
"66",0
"67",0
"68",0
"69",0
"70",0
"71",0
"72",0
"73",0
"74",0
"75",0
"76",0
"77",0
"78",0
"79",0
"80",0
"81",0
"82",0
"83",9995500
"84",0
"85",0
"86",0
"87",10000904
"88",0
"89",0
"90",0
"91",0
"92",0
"93",0
"94",10000546
"95",0
"96",0
"97",0
"98",0
"99",0
"100",0
"101",0
"102",0
"103",0
"104",0
"105",0
"106",0
"107",0
"108",0
"109",0
"110",0
"111",0
"112",0
"113",9999206
"114",0
"115",0
"116",0
"117",10001504
"118",0
"119",0
"120",0
"121",0
"122",0
"123",0
"124",0
"125",9998163
"126",0
"127",0
"128",0
"129",0
"130",0
"131",0
"132",9998580
"133",10001904
"134",0
"135",9997248
"136",9999523
"137",0
"138",0
"139",0
"140",0
"141",0
"142",0
"143",0
"144",0
"145",0
"146",0
"147",0
"148",0
"149",0
"150",0
"151",0
"152",0
"153",0
"154",0
"155",0
"156",9998376
"157",0
"158",0
"159",0
"160",10000613
"161",0
"162",0
"163",0
"164",0
"165",0
"166",0
"167",0
"168",0
"169",0
"170",0
"171",0
"172",0
"173",9999425
"174",0
"175",0
"176",0
"177",9999067
"178",0
"179",9998990
"180",0
