"","ndosi"
"1",0
"2",10001713
"3",0
"4",0
"5",0
"6",10002539
"7",0
"8",0
"9",0
"10",0
"11",10001842
"12",0
"13",0
"14",0
"15",10004938
"16",0
"17",0
"18",0
"19",0
"20",0
"21",0
"22",9998509
"23",0
"24",0
"25",9997916
"26",0
"27",0
"28",0
"29",0
"30",0
"31",0
"32",9995787
"33",9997180
"34",9999990
"35",9998564
"36",0
"37",0
"38",0
"39",0
"40",0
"41",0
"42",0
"43",0
"44",10001726
"45",0
"46",0
"47",0
"48",0
"49",0
"50",0
"51",0
"52",0
"53",0
"54",0
"55",0
"56",10006714
"57",0
"58",0
"59",0
"60",0
"61",0
"62",0
"63",0
"64",0
"65",0
"66",0
"67",0
"68",0
"69",0
"70",0
"71",0
"72",0
"73",0
"74",0
"75",0
"76",10001637
"77",9998071
"78",9996180
"79",0
"80",0
"81",0
"82",0
"83",9998433
"84",0
"85",0
"86",10002324
"87",0
"88",0
"89",0
"90",0
"91",9997422
"92",0
"93",0
"94",0
"95",0
"96",0
"97",0
"98",0
"99",0
"100",0
"101",0
"102",0
"103",10003605
"104",0
"105",9996113
"106",0
"107",10000061
"108",0
"109",0
"110",0
"111",10006076
"112",0
"113",0
"114",0
"115",0
"116",0
"117",0
"118",0
"119",0
"120",0
"121",9998452
"122",0
"123",0
"124",0
"125",0
"126",9999058
"127",0
"128",0
"129",0
"130",0
"131",0
"132",10006182
"133",0
"134",10000698
"135",9997165
"136",0
"137",0
"138",0
"139",0
"140",0
"141",0
"142",0
"143",10006658
"144",0
"145",9999964
"146",0
"147",0
"148",0
"149",9997796
"150",0
"151",0
"152",0
"153",0
"154",0
"155",9995958
"156",0
"157",9997817
"158",0
"159",0
"160",0
"161",0
"162",0
"163",0
"164",0
"165",0
"166",0
"167",9998944
"168",0
"169",9999633
"170",0
"171",0
"172",0
"173",0
"174",10001346
"175",0
"176",9998852
"177",0
"178",0
"179",0
"180",0
