"","ndosi"
"1",0
"2",0
"3",9998590
"4",0
"5",10003662
"6",0
"7",0
"8",0
"9",0
"10",0
"11",9996726
"12",0
"13",10000772
"14",0
"15",0
"16",0
"17",0
"18",0
"19",0
"20",0
"21",0
"22",0
"23",0
"24",0
"25",0
"26",0
"27",0
"28",0
"29",0
"30",0
"31",0
"32",0
"33",0
"34",0
"35",0
"36",9998313
"37",10005618
"38",0
"39",10000801
"40",0
"41",0
"42",0
"43",0
"44",10001911
"45",0
"46",0
"47",0
"48",0
"49",0
"50",0
"51",0
"52",0
"53",0
"54",10004198
"55",9997624
"56",0
"57",9998068
"58",0
"59",0
"60",9996383
"61",0
"62",0
"63",0
"64",0
"65",0
"66",0
"67",0
"68",0
"69",10000547
"70",0
"71",0
"72",9994415
"73",0
"74",0
"75",0
"76",0
"77",10000279
"78",0
"79",0
"80",9998013
"81",0
"82",0
"83",10006186
"84",0
"85",0
"86",0
"87",0
"88",0
"89",0
"90",0
"91",0
"92",0
"93",10007374
"94",0
"95",0
"96",10000677
"97",0
"98",0
"99",10004239
"100",0
"101",0
"102",0
"103",0
"104",0
"105",0
"106",0
"107",10006652
"108",10000898
"109",0
"110",0
"111",0
"112",0
"113",0
"114",0
"115",0
"116",10002327
"117",0
"118",10001314
"119",0
"120",0
"121",0
"122",0
"123",0
"124",0
"125",0
"126",0
"127",0
"128",0
"129",0
"130",0
"131",10000595
"132",0
"133",0
"134",0
"135",9998923
"136",10006425
"137",0
"138",0
"139",0
"140",0
"141",0
"142",9999861
"143",0
"144",0
"145",0
"146",0
"147",0
"148",0
"149",0
"150",0
"151",0
"152",0
"153",0
"154",10000435
"155",0
"156",0
"157",0
"158",0
"159",0
"160",0
"161",0
"162",0
"163",0
"164",0
"165",0
"166",0
"167",0
"168",0
"169",0
"170",0
"171",0
"172",0
"173",0
"174",0
"175",0
"176",0
"177",0
"178",0
"179",0
"180",0
