"","ndosi"
"1",0
"2",0
"3",0
"4",0
"5",10002200
"6",9994412
"7",0
"8",0
"9",9999406
"10",0
"11",0
"12",0
"13",10001765
"14",0
"15",0
"16",0
"17",0
"18",0
"19",0
"20",0
"21",0
"22",0
"23",0
"24",0
"25",0
"26",0
"27",0
"28",0
"29",0
"30",0
"31",0
"32",0
"33",0
"34",0
"35",0
"36",0
"37",0
"38",0
"39",0
"40",0
"41",0
"42",0
"43",0
"44",0
"45",0
"46",9994987
"47",0
"48",0
"49",0
"50",0
"51",10004045
"52",0
"53",9993556
"54",10011443
"55",10002276
"56",10001151
"57",0
"58",0
"59",0
"60",0
"61",0
"62",0
"63",0
"64",0
"65",0
"66",0
"67",10003136
"68",0
"69",9999488
"70",0
"71",0
"72",0
"73",0
"74",0
"75",10003020
"76",0
"77",0
"78",9995315
"79",0
"80",0
"81",0
"82",0
"83",0
"84",0
"85",0
"86",10003580
"87",0
"88",0
"89",0
"90",0
"91",0
"92",0
"93",0
"94",9996891
"95",0
"96",0
"97",0
"98",0
"99",0
"100",0
"101",9996302
"102",0
"103",0
"104",10001346
"105",0
"106",0
"107",0
"108",0
"109",10002199
"110",0
"111",0
"112",0
"113",0
"114",0
"115",0
"116",0
"117",0
"118",0
"119",0
"120",0
"121",0
"122",0
"123",0
"124",0
"125",0
"126",0
"127",0
"128",0
"129",9997802
"130",0
"131",0
"132",0
"133",0
"134",9999417
"135",9998907
"136",0
"137",0
"138",0
"139",9998719
"140",0
"141",0
"142",9997648
"143",0
"144",0
"145",0
"146",10005171
"147",0
"148",0
"149",0
"150",0
"151",0
"152",0
"153",0
"154",0
"155",0
"156",0
"157",0
"158",0
"159",0
"160",0
"161",0
"162",0
"163",10005468
"164",0
"165",0
"166",0
"167",0
"168",0
"169",0
"170",0
"171",0
"172",0
"173",0
"174",0
"175",0
"176",0
"177",9997103
"178",0
"179",0
"180",0
