"","ndosi"
"1",0
"2",0
"3",0
"4",9995320
"5",0
"6",0
"7",0
"8",0
"9",0
"10",0
"11",0
"12",0
"13",0
"14",0
"15",0
"16",0
"17",0
"18",0
"19",0
"20",0
"21",9999230
"22",0
"23",0
"24",0
"25",0
"26",10000470
"27",0
"28",9994665
"29",0
"30",0
"31",0
"32",0
"33",0
"34",0
"35",9997776
"36",9995818
"37",0
"38",0
"39",0
"40",0
"41",9998513
"42",0
"43",0
"44",0
"45",10001830
"46",0
"47",0
"48",0
"49",0
"50",0
"51",0
"52",0
"53",0
"54",10001317
"55",9996206
"56",0
"57",10001074
"58",10002220
"59",9999985
"60",0
"61",0
"62",0
"63",0
"64",0
"65",0
"66",0
"67",10000641
"68",0
"69",0
"70",0
"71",0
"72",9999714
"73",9999486
"74",9999815
"75",0
"76",10003557
"77",0
"78",0
"79",9996647
"80",0
"81",0
"82",0
"83",0
"84",0
"85",0
"86",0
"87",0
"88",9997573
"89",0
"90",0
"91",0
"92",10003497
"93",0
"94",9991186
"95",0
"96",0
"97",0
"98",0
"99",0
"100",10002722
"101",10000304
"102",0
"103",0
"104",0
"105",9997563
"106",0
"107",0
"108",9997997
"109",0
"110",0
"111",0
"112",0
"113",0
"114",0
"115",0
"116",9995631
"117",0
"118",0
"119",0
"120",0
"121",0
"122",0
"123",0
"124",0
"125",0
"126",0
"127",0
"128",0
"129",0
"130",0
"131",0
"132",0
"133",0
"134",10000530
"135",0
"136",0
"137",0
"138",0
"139",0
"140",0
"141",0
"142",0
"143",0
"144",9994559
"145",0
"146",0
"147",0
"148",9995698
"149",0
"150",0
"151",0
"152",0
"153",0
"154",0
"155",0
"156",0
"157",0
"158",0
"159",0
"160",0
"161",0
"162",0
"163",0
"164",0
"165",0
"166",0
"167",0
"168",10003954
"169",0
"170",10000223
"171",0
"172",0
"173",0
"174",0
"175",0
"176",0
"177",0
"178",0
"179",0
"180",0
