"","ndosi"
"1",0
"2",0
"3",0
"4",0
"5",0
"6",9993333
"7",0
"8",0
"9",10004528
"10",0
"11",0
"12",0
"13",0
"14",0
"15",10006085
"16",0
"17",0
"18",0
"19",0
"20",0
"21",0
"22",9997230
"23",0
"24",0
"25",10000054
"26",0
"27",0
"28",9997072
"29",0
"30",0
"31",9995229
"32",0
"33",0
"34",0
"35",0
"36",10006164
"37",0
"38",0
"39",0
"40",0
"41",9997855
"42",0
"43",0
"44",0
"45",0
"46",0
"47",9998732
"48",0
"49",0
"50",0
"51",10006617
"52",0
"53",9993648
"54",0
"55",9998652
"56",0
"57",0
"58",0
"59",0
"60",0
"61",0
"62",0
"63",0
"64",0
"65",0
"66",0
"67",0
"68",0
"69",0
"70",0
"71",0
"72",0
"73",0
"74",0
"75",10001252
"76",10004089
"77",0
"78",0
"79",0
"80",0
"81",0
"82",0
"83",0
"84",0
"85",9997461
"86",0
"87",0
"88",0
"89",0
"90",0
"91",0
"92",0
"93",0
"94",0
"95",0
"96",0
"97",9996219
"98",0
"99",0
"100",10002015
"101",0
"102",0
"103",0
"104",0
"105",0
"106",0
"107",0
"108",0
"109",0
"110",0
"111",0
"112",0
"113",0
"114",0
"115",0
"116",9998431
"117",9997028
"118",0
"119",10000674
"120",0
"121",0
"122",0
"123",10000940
"124",10003895
"125",9999792
"126",10003557
"127",0
"128",0
"129",0
"130",0
"131",0
"132",0
"133",0
"134",0
"135",0
"136",0
"137",0
"138",0
"139",0
"140",0
"141",9997358
"142",10003001
"143",0
"144",0
"145",0
"146",0
"147",0
"148",0
"149",0
"150",0
"151",0
"152",0
"153",0
"154",0
"155",0
"156",0
"157",0
"158",0
"159",0
"160",0
"161",0
"162",0
"163",0
"164",0
"165",0
"166",0
"167",0
"168",0
"169",10002378
"170",0
"171",0
"172",0
"173",0
"174",0
"175",0
"176",9999280
"177",0
"178",9998156
"179",0
"180",0
