"","ndosi"
"1",0
"2",0
"3",9999042
"4",0
"5",0
"6",0
"7",0
"8",10000466
"9",0
"10",0
"11",0
"12",0
"13",0
"14",0
"15",0
"16",0
"17",0
"18",0
"19",0
"20",0
"21",0
"22",0
"23",0
"24",0
"25",0
"26",0
"27",0
"28",9994187
"29",0
"30",0
"31",9996982
"32",0
"33",0
"34",0
"35",0
"36",9995988
"37",0
"38",0
"39",0
"40",0
"41",9995593
"42",9997865
"43",0
"44",0
"45",0
"46",0
"47",0
"48",0
"49",0
"50",9996645
"51",9997721
"52",0
"53",0
"54",0
"55",0
"56",9995753
"57",0
"58",0
"59",0
"60",0
"61",0
"62",0
"63",9995567
"64",0
"65",0
"66",0
"67",9997815
"68",9996275
"69",0
"70",0
"71",0
"72",0
"73",0
"74",0
"75",0
"76",0
"77",9998688
"78",0
"79",0
"80",0
"81",10002144
"82",0
"83",0
"84",0
"85",0
"86",0
"87",0
"88",0
"89",0
"90",0
"91",0
"92",0
"93",10000300
"94",9998365
"95",9992807
"96",0
"97",0
"98",0
"99",0
"100",9999405
"101",0
"102",0
"103",9994412
"104",10002698
"105",0
"106",10000564
"107",0
"108",0
"109",0
"110",0
"111",10001135
"112",0
"113",9996771
"114",0
"115",0
"116",9993740
"117",0
"118",0
"119",0
"120",9995113
"121",0
"122",0
"123",0
"124",0
"125",0
"126",0
"127",0
"128",9995555
"129",0
"130",0
"131",0
"132",9998392
"133",0
"134",0
"135",0
"136",0
"137",10000362
"138",0
"139",0
"140",0
"141",0
"142",10000144
"143",0
"144",9996813
"145",0
"146",0
"147",0
"148",9996109
"149",10000778
"150",0
"151",0
"152",0
"153",9997530
"154",0
"155",0
"156",0
"157",0
"158",0
"159",0
"160",0
"161",0
"162",9996131
"163",0
"164",0
"165",0
"166",0
"167",0
"168",0
"169",0
"170",0
"171",0
"172",0
"173",0
"174",0
"175",0
"176",0
"177",0
"178",0
"179",0
"180",0
