"","ndosi"
"1",0
"2",0
"3",9997215
"4",0
"5",10006489
"6",0
"7",10004419
"8",0
"9",0
"10",0
"11",10002730
"12",0
"13",0
"14",0
"15",0
"16",0
"17",0
"18",0
"19",0
"20",0
"21",0
"22",0
"23",0
"24",10001679
"25",0
"26",0
"27",0
"28",0
"29",10000194
"30",0
"31",0
"32",0
"33",0
"34",0
"35",0
"36",0
"37",0
"38",0
"39",0
"40",0
"41",9999374
"42",0
"43",10002150
"44",0
"45",0
"46",0
"47",0
"48",0
"49",0
"50",0
"51",0
"52",0
"53",0
"54",0
"55",0
"56",0
"57",0
"58",0
"59",0
"60",9994268
"61",0
"62",0
"63",10000742
"64",0
"65",0
"66",0
"67",0
"68",0
"69",0
"70",0
"71",9996634
"72",0
"73",0
"74",9992864
"75",9996095
"76",9996989
"77",0
"78",9998038
"79",0
"80",0
"81",10000709
"82",0
"83",0
"84",0
"85",0
"86",0
"87",10001180
"88",0
"89",0
"90",10006015
"91",0
"92",0
"93",0
"94",0
"95",0
"96",0
"97",0
"98",10000120
"99",0
"100",9997232
"101",0
"102",0
"103",0
"104",0
"105",0
"106",0
"107",0
"108",0
"109",0
"110",9994763
"111",9996299
"112",0
"113",9999116
"114",0
"115",0
"116",0
"117",0
"118",0
"119",0
"120",0
"121",0
"122",0
"123",0
"124",0
"125",9998960
"126",0
"127",0
"128",0
"129",0
"130",0
"131",10001075
"132",0
"133",0
"134",0
"135",9999586
"136",0
"137",0
"138",0
"139",9998082
"140",0
"141",0
"142",0
"143",0
"144",0
"145",0
"146",0
"147",0
"148",0
"149",0
"150",0
"151",0
"152",0
"153",0
"154",0
"155",9997391
"156",0
"157",0
"158",0
"159",0
"160",9998083
"161",0
"162",10003233
"163",10000483
"164",0
"165",9999844
"166",0
"167",0
"168",0
"169",0
"170",0
"171",0
"172",9999222
"173",0
"174",0
"175",0
"176",9995251
"177",0
"178",0
"179",0
"180",0
