"","ndosi"
"1",0
"2",0
"3",0
"4",0
"5",0
"6",9995620
"7",0
"8",0
"9",0
"10",0
"11",0
"12",9998541
"13",0
"14",0
"15",0
"16",0
"17",0
"18",0
"19",0
"20",9995007
"21",0
"22",0
"23",0
"24",9993716
"25",0
"26",10001530
"27",0
"28",0
"29",10003854
"30",0
"31",0
"32",10000376
"33",0
"34",0
"35",10001635
"36",10003727
"37",9996917
"38",0
"39",0
"40",0
"41",0
"42",9999991
"43",9994812
"44",0
"45",0
"46",0
"47",0
"48",0
"49",0
"50",0
"51",9999665
"52",0
"53",0
"54",0
"55",10000611
"56",10000217
"57",0
"58",0
"59",0
"60",0
"61",0
"62",0
"63",0
"64",0
"65",0
"66",0
"67",0
"68",10007409
"69",0
"70",0
"71",0
"72",0
"73",0
"74",0
"75",0
"76",0
"77",0
"78",0
"79",0
"80",0
"81",0
"82",0
"83",0
"84",0
"85",0
"86",10005646
"87",0
"88",0
"89",0
"90",0
"91",10007750
"92",0
"93",9998461
"94",0
"95",0
"96",0
"97",0
"98",0
"99",0
"100",0
"101",0
"102",0
"103",0
"104",0
"105",9998331
"106",0
"107",10000241
"108",0
"109",0
"110",0
"111",0
"112",9994258
"113",0
"114",0
"115",0
"116",9997974
"117",0
"118",10005912
"119",0
"120",0
"121",0
"122",0
"123",9997413
"124",0
"125",10000329
"126",0
"127",10004718
"128",0
"129",0
"130",0
"131",0
"132",0
"133",0
"134",0
"135",0
"136",0
"137",0
"138",0
"139",0
"140",0
"141",0
"142",0
"143",0
"144",0
"145",0
"146",0
"147",10004866
"148",0
"149",10000232
"150",0
"151",10000028
"152",0
"153",0
"154",0
"155",0
"156",0
"157",0
"158",0
"159",0
"160",0
"161",0
"162",0
"163",0
"164",0
"165",9999826
"166",0
"167",0
"168",0
"169",0
"170",0
"171",0
"172",0
"173",0
"174",0
"175",0
"176",0
"177",0
"178",0
"179",0
"180",0
