"","ndosi"
"1",0
"2",0
"3",0
"4",0
"5",0
"6",10000296
"7",0
"8",0
"9",0
"10",0
"11",0
"12",10000878
"13",9996842
"14",0
"15",0
"16",0
"17",0
"18",0
"19",0
"20",0
"21",0
"22",0
"23",0
"24",9997736
"25",0
"26",0
"27",10003101
"28",0
"29",0
"30",0
"31",0
"32",0
"33",0
"34",9999549
"35",0
"36",9998116
"37",0
"38",10003966
"39",0
"40",0
"41",0
"42",0
"43",0
"44",0
"45",0
"46",0
"47",9998599
"48",0
"49",0
"50",0
"51",0
"52",0
"53",0
"54",0
"55",0
"56",0
"57",0
"58",0
"59",0
"60",10001544
"61",0
"62",0
"63",0
"64",0
"65",10000822
"66",0
"67",0
"68",0
"69",10001200
"70",0
"71",0
"72",0
"73",0
"74",0
"75",10001156
"76",0
"77",9998401
"78",0
"79",0
"80",0
"81",10001230
"82",0
"83",0
"84",0
"85",0
"86",9995490
"87",0
"88",0
"89",0
"90",0
"91",0
"92",0
"93",0
"94",9995807
"95",0
"96",0
"97",10000212
"98",0
"99",0
"100",0
"101",9995482
"102",0
"103",0
"104",0
"105",9997792
"106",0
"107",0
"108",0
"109",0
"110",0
"111",0
"112",0
"113",0
"114",0
"115",10004541
"116",0
"117",0
"118",10000486
"119",0
"120",0
"121",0
"122",0
"123",9999641
"124",0
"125",0
"126",0
"127",0
"128",0
"129",0
"130",0
"131",9999869
"132",0
"133",0
"134",9999605
"135",0
"136",0
"137",0
"138",10005505
"139",10000234
"140",0
"141",10002980
"142",0
"143",10000913
"144",0
"145",10001612
"146",0
"147",0
"148",0
"149",9996393
"150",0
"151",0
"152",0
"153",10000018
"154",0
"155",10002494
"156",0
"157",0
"158",0
"159",0
"160",0
"161",0
"162",0
"163",0
"164",10000176
"165",0
"166",0
"167",0
"168",0
"169",0
"170",0
"171",0
"172",0
"173",0
"174",0
"175",0
"176",0
"177",0
"178",0
"179",0
"180",0
