"","ndosi"
"1",10003288
"2",0
"3",10002811
"4",0
"5",0
"6",0
"7",0
"8",10000666
"9",0
"10",9996682
"11",0
"12",0
"13",9994372
"14",0
"15",0
"16",0
"17",0
"18",9992609
"19",0
"20",0
"21",9999376
"22",0
"23",10001014
"24",0
"25",0
"26",0
"27",0
"28",0
"29",9996014
"30",0
"31",0
"32",0
"33",0
"34",10000341
"35",9998225
"36",0
"37",0
"38",0
"39",0
"40",0
"41",0
"42",10001078
"43",0
"44",0
"45",9999412
"46",0
"47",0
"48",0
"49",9998801
"50",0
"51",0
"52",0
"53",0
"54",0
"55",0
"56",0
"57",0
"58",10001284
"59",0
"60",10002237
"61",0
"62",9997323
"63",0
"64",10000556
"65",0
"66",0
"67",0
"68",0
"69",0
"70",0
"71",0
"72",0
"73",0
"74",10001069
"75",0
"76",0
"77",0
"78",0
"79",0
"80",10000257
"81",0
"82",0
"83",10001203
"84",0
"85",0
"86",0
"87",0
"88",9997395
"89",10005048
"90",0
"91",0
"92",0
"93",0
"94",0
"95",0
"96",0
"97",0
"98",0
"99",0
"100",10001147
"101",0
"102",0
"103",10000704
"104",0
"105",0
"106",10000825
"107",0
"108",0
"109",0
"110",0
"111",0
"112",0
"113",0
"114",0
"115",0
"116",0
"117",10003913
"118",0
"119",0
"120",9996221
"121",0
"122",0
"123",0
"124",0
"125",9997055
"126",0
"127",0
"128",0
"129",0
"130",0
"131",10003763
"132",0
"133",0
"134",0
"135",9999185
"136",0
"137",0
"138",0
"139",0
"140",0
"141",0
"142",0
"143",0
"144",0
"145",0
"146",0
"147",0
"148",0
"149",0
"150",0
"151",9997325
"152",0
"153",0
"154",0
"155",0
"156",0
"157",0
"158",0
"159",0
"160",0
"161",0
"162",0
"163",0
"164",0
"165",10000700
"166",0
"167",0
"168",10001579
"169",10000987
"170",0
"171",0
"172",0
"173",0
"174",0
"175",0
"176",0
"177",0
"178",10001018
"179",0
"180",0
