"","ndosi"
"1",10001045
"2",0
"3",10004202
"4",10000428
"5",0
"6",0
"7",0
"8",0
"9",0
"10",0
"11",0
"12",0
"13",0
"14",0
"15",0
"16",10004844
"17",0
"18",0
"19",0
"20",0
"21",9994025
"22",0
"23",0
"24",0
"25",10006023
"26",0
"27",0
"28",0
"29",9998382
"30",0
"31",0
"32",9997379
"33",9998171
"34",10001398
"35",0
"36",0
"37",0
"38",0
"39",10000504
"40",0
"41",10003155
"42",0
"43",0
"44",0
"45",0
"46",9997526
"47",0
"48",0
"49",0
"50",0
"51",0
"52",0
"53",0
"54",0
"55",9996312
"56",0
"57",0
"58",0
"59",0
"60",0
"61",0
"62",0
"63",9996445
"64",0
"65",9997073
"66",0
"67",0
"68",0
"69",0
"70",0
"71",10003123
"72",9998637
"73",9999490
"74",0
"75",0
"76",0
"77",0
"78",9998861
"79",0
"80",0
"81",0
"82",0
"83",10004214
"84",0
"85",0
"86",0
"87",0
"88",0
"89",0
"90",0
"91",0
"92",0
"93",0
"94",0
"95",10000137
"96",0
"97",10005362
"98",0
"99",0
"100",9997651
"101",0
"102",0
"103",0
"104",0
"105",0
"106",0
"107",0
"108",0
"109",0
"110",0
"111",0
"112",0
"113",0
"114",0
"115",0
"116",10001287
"117",0
"118",0
"119",0
"120",0
"121",0
"122",0
"123",0
"124",0
"125",0
"126",0
"127",10000226
"128",0
"129",0
"130",0
"131",0
"132",0
"133",0
"134",0
"135",0
"136",0
"137",10001721
"138",0
"139",0
"140",0
"141",9999748
"142",0
"143",9994085
"144",0
"145",10004016
"146",0
"147",0
"148",0
"149",0
"150",0
"151",9992484
"152",0
"153",0
"154",9999294
"155",0
"156",0
"157",0
"158",0
"159",0
"160",0
"161",0
"162",0
"163",10000833
"164",10000117
"165",0
"166",0
"167",0
"168",0
"169",0
"170",0
"171",0
"172",0
"173",0
"174",0
"175",0
"176",0
"177",0
"178",10006727
"179",0
"180",0
