"","ndosi"
"1",0
"2",0
"3",0
"4",0
"5",0
"6",9998173
"7",0
"8",0
"9",0
"10",0
"11",0
"12",10001918
"13",9995866
"14",0
"15",0
"16",0
"17",9994444
"18",9999099
"19",10005079
"20",0
"21",0
"22",0
"23",9997061
"24",0
"25",0
"26",0
"27",0
"28",10000213
"29",0
"30",0
"31",9997868
"32",0
"33",0
"34",0
"35",0
"36",10001361
"37",0
"38",10000512
"39",9999970
"40",10000844
"41",0
"42",9994360
"43",0
"44",0
"45",0
"46",0
"47",0
"48",10001473
"49",0
"50",9996996
"51",0
"52",0
"53",0
"54",9998432
"55",0
"56",9995248
"57",0
"58",0
"59",0
"60",0
"61",0
"62",0
"63",10004120
"64",0
"65",0
"66",0
"67",10003520
"68",9994736
"69",0
"70",9998647
"71",0
"72",0
"73",0
"74",0
"75",0
"76",9999811
"77",0
"78",0
"79",0
"80",0
"81",0
"82",0
"83",0
"84",0
"85",0
"86",0
"87",0
"88",0
"89",0
"90",0
"91",0
"92",0
"93",0
"94",0
"95",10001625
"96",0
"97",0
"98",0
"99",10004569
"100",0
"101",0
"102",0
"103",0
"104",9998360
"105",9998323
"106",0
"107",10001384
"108",0
"109",0
"110",0
"111",0
"112",10006027
"113",0
"114",0
"115",0
"116",0
"117",0
"118",0
"119",0
"120",10002283
"121",0
"122",0
"123",0
"124",0
"125",0
"126",0
"127",0
"128",0
"129",9999323
"130",0
"131",0
"132",0
"133",0
"134",0
"135",0
"136",0
"137",0
"138",10001497
"139",0
"140",0
"141",0
"142",0
"143",0
"144",0
"145",0
"146",0
"147",0
"148",0
"149",0
"150",0
"151",0
"152",0
"153",0
"154",0
"155",0
"156",0
"157",9998863
"158",0
"159",0
"160",0
"161",0
"162",0
"163",10002403
"164",0
"165",0
"166",0
"167",0
"168",0
"169",10003470
"170",0
"171",0
"172",0
"173",0
"174",0
"175",0
"176",0
"177",0
"178",0
"179",0
"180",0
