"","ndosi"
"1",0
"2",0
"3",0
"4",0
"5",9994798
"6",0
"7",0
"8",0
"9",9997365
"10",0
"11",9996057
"12",0
"13",0
"14",0
"15",9994765
"16",0
"17",0
"18",0
"19",0
"20",0
"21",0
"22",0
"23",0
"24",0
"25",0
"26",0
"27",0
"28",0
"29",10004540
"30",0
"31",0
"32",0
"33",0
"34",10001363
"35",0
"36",0
"37",0
"38",9996571
"39",0
"40",0
"41",0
"42",9999830
"43",0
"44",0
"45",0
"46",10003388
"47",0
"48",0
"49",0
"50",0
"51",0
"52",0
"53",0
"54",0
"55",0
"56",0
"57",0
"58",0
"59",0
"60",0
"61",0
"62",9993913
"63",0
"64",0
"65",0
"66",0
"67",0
"68",0
"69",0
"70",0
"71",0
"72",10005921
"73",0
"74",0
"75",0
"76",0
"77",0
"78",0
"79",0
"80",10001571
"81",0
"82",0
"83",9998323
"84",0
"85",0
"86",0
"87",0
"88",0
"89",0
"90",0
"91",0
"92",0
"93",9997533
"94",0
"95",0
"96",9997565
"97",10000303
"98",0
"99",0
"100",0
"101",0
"102",9994860
"103",0
"104",0
"105",0
"106",0
"107",0
"108",0
"109",0
"110",0
"111",0
"112",10003699
"113",0
"114",0
"115",0
"116",0
"117",9994274
"118",0
"119",10006113
"120",0
"121",0
"122",10005050
"123",0
"124",0
"125",0
"126",10000632
"127",0
"128",10001477
"129",9998209
"130",9998659
"131",0
"132",0
"133",0
"134",9999808
"135",0
"136",0
"137",0
"138",0
"139",0
"140",0
"141",10001095
"142",0
"143",0
"144",0
"145",0
"146",0
"147",0
"148",10004216
"149",0
"150",0
"151",0
"152",0
"153",0
"154",0
"155",10000159
"156",0
"157",0
"158",9998689
"159",9996245
"160",9999224
"161",0
"162",0
"163",0
"164",0
"165",9996606
"166",0
"167",0
"168",0
"169",0
"170",9993867
"171",0
"172",0
"173",0
"174",0
"175",0
"176",0
"177",0
"178",0
"179",0
"180",0
