"","ndosi"
"1",10002185
"2",0
"3",10000124
"4",10001214
"5",0
"6",9993290
"7",0
"8",0
"9",0
"10",0
"11",0
"12",0
"13",0
"14",0
"15",0
"16",0
"17",0
"18",0
"19",0
"20",0
"21",0
"22",0
"23",0
"24",0
"25",0
"26",0
"27",0
"28",9997406
"29",0
"30",0
"31",0
"32",0
"33",9996752
"34",0
"35",0
"36",0
"37",0
"38",0
"39",0
"40",0
"41",0
"42",0
"43",0
"44",0
"45",0
"46",0
"47",0
"48",0
"49",0
"50",10001598
"51",0
"52",0
"53",0
"54",0
"55",0
"56",0
"57",0
"58",0
"59",0
"60",0
"61",0
"62",0
"63",0
"64",0
"65",0
"66",9998787
"67",0
"68",10003801
"69",0
"70",0
"71",0
"72",0
"73",0
"74",9995252
"75",0
"76",0
"77",0
"78",0
"79",0
"80",0
"81",10002040
"82",0
"83",10002094
"84",0
"85",9995510
"86",0
"87",0
"88",0
"89",0
"90",0
"91",10001676
"92",0
"93",0
"94",0
"95",10000385
"96",0
"97",9995826
"98",0
"99",0
"100",0
"101",10001204
"102",0
"103",0
"104",0
"105",0
"106",0
"107",0
"108",0
"109",0
"110",0
"111",0
"112",0
"113",0
"114",9998910
"115",0
"116",0
"117",0
"118",9999507
"119",10002306
"120",0
"121",9999138
"122",0
"123",0
"124",0
"125",0
"126",0
"127",0
"128",0
"129",0
"130",0
"131",9999393
"132",0
"133",0
"134",0
"135",0
"136",0
"137",9999357
"138",0
"139",0
"140",0
"141",0
"142",0
"143",0
"144",0
"145",10000162
"146",0
"147",10001699
"148",0
"149",0
"150",0
"151",0
"152",0
"153",0
"154",0
"155",9998542
"156",0
"157",0
"158",0
"159",0
"160",0
"161",0
"162",0
"163",0
"164",9999628
"165",0
"166",9998058
"167",0
"168",0
"169",0
"170",0
"171",0
"172",9997870
"173",0
"174",0
"175",0
"176",0
"177",10000467
"178",0
"179",0
"180",0
